model_selector,segment,TotHH,Total_Employment,Utlities_Services,Construction,Transportation_Handling,Health_Care,Other_Services,Government_Services,Highschool_Education,College_Education,Hotel_Accomodation,Agriculture_Production,Agriculture_Office,Metal_Production,Metal_Office,Light_Industry_Production,Light_Industry_Office,Heavy_Industry_Production,Heavy_Industry_Office,Transportation_Equipment_Production,Transportation_Equipment_Office,Wholesale_Production,Wholesale_Office,Retail_Production,Retail_Office,MODELAREA_INVERT
ldt,household_day,2.793,1,,,,,,,,,,,,,,,,,,,,,,,,-9999e99
ldt,household_overnight,2.793,1,,,,,,,,1.954,264.365,,,,,,,,,,,,,,,-9999e99
ldt,workrelated_day_0,,1,,,,,,7.057,,,,,,,,,,,,,,,,,,-9999e99
ldt,workrelated_day_1,,1,,,,,,7.057,,,,3.671,,,,,,,,,,,,,,-9999e99
ldt,workrelated_day_2,,1,,,,,,7.057,,,,,3.671,,,,,,,,,,,,,-9999e99
ldt,workrelated_day_3,,1,,,,,,7.057,,,,,,3.671,,,,,,,,,,,,-9999e99
ldt,workrelated_day_4,,1,,,,,,7.057,,,,,,,3.671,,,,,,,,,,,-9999e99
ldt,workrelated_day_5,,1,,,,,,7.057,,,,,,,,3.671,,,,,,,,,,-9999e99
ldt,workrelated_day_6,,1,,,,,,7.057,,,,,,,,,3.671,,,,,,,,,-9999e99
ldt,workrelated_day_7,,1,,,,,,7.057,,,,,,,,,,3.671,,,,,,,,-9999e99
ldt,workrelated_day_8,,1,,,,,,7.057,,,,,,,,,,,3.671,,,,,,,-9999e99
ldt,workrelated_day_9,,1,,,,,,7.057,,,,,,,,,,,,3.671,,,,,,-9999e99
ldt,workrelated_day_10,,1,,,,,,7.057,,,,,,,,,,,,,3.671,,,,,-9999e99
ldt,workrelated_day_11,,1,,,,,,7.057,,,,,,,,,,,,,,3.671,,,,-9999e99
ldt,workrelated_day_12,,1,,,,,,7.057,,,,,,,,,,,,,,,3.671,,,-9999e99
ldt,workrelated_day_13,,1,,,,,,7.057,,,,,,,,,,,,,,,,3.671,,-9999e99
ldt,workrelated_day_14,,1,,,,,,7.057,,,,,,,,,,,,,,,,,3.671,-9999e99
ldt,workrelated_day_15,,1,,,,,,7.057,,,3.671,,,,,,,,,,,,,,,-9999e99
ldt,workrelated_day_16,,1,,3.671,,,,7.057,,,,,,,,,,,,,,,,,,-9999e99
ldt,workrelated_day_17,,1,,,,3.671,,7.057,,,,,,,,,,,,,,,,,,-9999e99
ldt,workrelated_day_18,,1,,,3.671,,,7.057,,,,,,,,,,,,,,,,,,-9999e99
ldt,workrelated_day_19,,1,3.671,,,,,7.057,,,,,,,,,,,,,,,,,,-9999e99
ldt,workrelated_day_20,,1,,,,,3.671,7.057,,,,,,,,,,,,,,,,,,-9999e99
ldt,workrelated_day_21,,1,,,,,,7.057,3.671,,,,,,,,,,,,,,,,,-9999e99
ldt,workrelated_day_22,,1,,,,,,7.057,,3.671,,,,,,,,,,,,,,,,-9999e99
ldt,workrelated_day_23,,1,,,,,,10.728,,,,,,,,,,,,,,,,,,-9999e99
ldt,workrelated_overnight_0,,1,,,,,,7.057,,,228.321,,,,,,,,,,,,,,,-9999e99
ldt,workrelated_overnight_1,,1,,,,,,7.057,,,228.321,3.671,,,,,,,,,,,,,,-9999e99
ldt,workrelated_overnight_2,,1,,,,,,7.057,,,228.321,,3.671,,,,,,,,,,,,,-9999e99
ldt,workrelated_overnight_3,,1,,,,,,7.057,,,228.321,,,3.671,,,,,,,,,,,,-9999e99
ldt,workrelated_overnight_4,,1,,,,,,7.057,,,228.321,,,,3.671,,,,,,,,,,,-9999e99
ldt,workrelated_overnight_5,,1,,,,,,7.057,,,228.321,,,,,3.671,,,,,,,,,,-9999e99
ldt,workrelated_overnight_6,,1,,,,,,7.057,,,228.321,,,,,,3.671,,,,,,,,,-9999e99
ldt,workrelated_overnight_7,,1,,,,,,7.057,,,228.321,,,,,,,3.671,,,,,,,,-9999e99
ldt,workrelated_overnight_8,,1,,,,,,7.057,,,228.321,,,,,,,,3.671,,,,,,,-9999e99
ldt,workrelated_overnight_9,,1,,,,,,7.057,,,228.321,,,,,,,,,3.671,,,,,,-9999e99
ldt,workrelated_overnight_10,,1,,,,,,7.057,,,228.321,,,,,,,,,,3.671,,,,,-9999e99
ldt,workrelated_overnight_11,,1,,,,,,7.057,,,228.321,,,,,,,,,,,3.671,,,,-9999e99
ldt,workrelated_overnight_12,,1,,,,,,7.057,,,228.321,,,,,,,,,,,,3.671,,,-9999e99
ldt,workrelated_overnight_13,,1,,,,,,7.057,,,228.321,,,,,,,,,,,,,3.671,,-9999e99
ldt,workrelated_overnight_14,,1,,,,,,7.057,,,228.321,,,,,,,,,,,,,,3.671,-9999e99
ldt,workrelated_overnight_15,,1,,,,,,7.057,,,231.992,,,,,,,,,,,,,,,-9999e99
ldt,workrelated_overnight_16,,1,,3.671,,,,7.057,,,228.321,,,,,,,,,,,,,,,-9999e99
ldt,workrelated_overnight_17,,1,,,,3.671,,7.057,,,228.321,,,,,,,,,,,,,,,-9999e99
ldt,workrelated_overnight_18,,1,,,3.671,,,7.057,,,228.321,,,,,,,,,,,,,,,-9999e99
ldt,workrelated_overnight_19,,1,3.671,,,,,7.057,,,228.321,,,,,,,,,,,,,,,-9999e99
ldt,workrelated_overnight_20,,1,,,,,3.671,7.057,,,228.321,,,,,,,,,,,,,,,-9999e99
ldt,workrelated_overnight_21,,1,,,,,,7.057,3.671,,228.321,,,,,,,,,,,,,,,-9999e99
ldt,workrelated_overnight_22,,1,,,,,,7.057,,3.671,228.321,,,,,,,,,,,,,,,-9999e99
ldt,workrelated_overnight_23,,1,,,,,,10.728,,,228.321,,,,,,,,,,,,,,,-9999e99
ldt,other_day_student,1.958,1,,,,,,,,80.434,,,,,,,,,,,,,,,,-9999e99
ldt,other_overnight_student,1.958,1,,,,,,,,80.434,55.571,,,,,,,,,,,,,,,-9999e99
ldt,other_day_nonstudent,1.958,1,,,,,,,,0,,,,,,,,,,,,,,,,-9999e99
ldt,other_overnight_nonstudent,1.958,1,,,,,,,,0,55.571,,,,,,,,,,,,,,,-9999e99
